"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1989,31.73929291,23.8,0,18.49156346
2,3,1989,33.39236024,22.6,0,20.99525779
3,3,1989,34.92952985,24.8,0,22.4743947
4,3,1989,34.18467798,25.8,9.1,21.50740737
5,3,1989,34.97826392,22.2,0,19.41690206
6,3,1989,35.90851184,22,0,19.74239256
7,3,1989,36.76530864,22.2,0,16.46686457
8,3,1989,34.01921628,23.6,0,22.11510541
9,3,1989,34.0005279,25.5005279,0,21.71549552
10,3,1989,33.19280833,25.99280833,0,20.9031289
11,3,1989,33.91982671,23.8,0,15.99618216
12,3,1989,36.41895027,24,0,18.6647216
13,3,1989,32.91006384,24.2,2.6,15.88095361
14,3,1989,34.9740349,24.4,1.3,20.79758744
15,3,1989,32.86197467,22.4,0,22.18167118
16,3,1989,37.36910825,23.4,0,17.75957159
17,3,1989,34.97433671,23,0,20.13918847
18,3,1989,35.46591309,25.4,0,21.66677675
19,3,1989,34.09259249,26.2,0,19.15541311
20,3,1989,34.82810317,20.4,1.3,19.00338049
21,3,1989,36.12982595,24.4,0,19.91314205
22,3,1989,35.37621228,23,0.8,18.19104419
23,3,1989,36.04573954,22.8,0,19.60216051
24,3,1989,33.88601989,23.88601989,0,16.08825906
25,3,1989,34.93785318,22.8,0,20.47833606
26,3,1989,33.23862513,23.2,0,20.65537643
27,3,1989,33.87308578,24.8,0,19.61319951
28,3,1989,34.02138244,24.82138244,0,21.3543008
29,3,1989,32.87293387,25.6,0,17.90376933
30,3,1989,33.77468427,22.2,11,21.50230215
31,3,1989,36.68512786,26.08512786,0,19.33724708
1,4,1981,29.68975528,23,0,15.2808006
2,4,1981,31.40278882,22.5,0,21.3004706
3,4,1981,31.28784569,23.5,2.5,18.66584303
4,4,1981,31.44365181,22,23.4,11.27100384
5,4,1981,32.72144573,20.5,8.3,15.08422985
6,4,1981,31.97558867,20.5,0,17.54317082
7,4,1981,33.71199226,22,1.1,17.92252848
8,4,1981,33.52257197,21.5,1,19.86814138
9,4,1981,29.55395308,23,5.3,12.73477563
10,4,1981,29.8348342,22,0,16.61293572
11,4,1981,28.66186926,23,23.2,15.51657925
12,4,1981,26.68862145,21,13.6,11.84508765
